COUNTYNAME,place,Place_id
臺東縣,臺東縣鹿野鄉,955.0
臺東縣,臺東縣池上鄉,958.0
臺東縣,臺東縣延平鄉,953.0
花蓮縣,花蓮縣光復鄉,976.0
花蓮縣,花蓮縣瑞穗鄉,978.0
花蓮縣,花蓮縣富里鄉,983.0
澎湖縣,澎湖縣馬公市,880.0
澎湖縣,澎湖縣白沙鄉,884.0
澎湖縣,澎湖縣西嶼鄉,881.0
澎湖縣,澎湖縣望安鄉,882.0
澎湖縣,澎湖縣七美鄉,883.0
基隆市,基隆市暖暖區,205.0
臺北市,臺北市大安區,106.0
臺北市,臺北市文山區,116.0
高雄市,高雄市鹽埕區,803.0
高雄市,高雄市新興區,800.0
高雄市,高雄市前金區,801.0
高雄市,高雄市前鎮區,806.0
宜蘭縣,宜蘭縣頭城鎮,261.0
宜蘭縣,宜蘭縣南澳鄉,272.0
新竹縣,新竹縣竹北市,302.0
新竹縣,新竹縣新豐鄉,304.0
苗栗縣,苗栗縣苑裡鎮,358.0
苗栗縣,苗栗縣通霄鎮,357.0
苗栗縣,苗栗縣竹南鎮,350.0
苗栗縣,苗栗縣後龍鎮,356.0
彰化縣,彰化縣鹿港鎮,505.0
彰化縣,彰化縣福興鄉,506.0
雲林縣,雲林縣臺西鄉,636.0
雲林縣,雲林縣四湖鄉,654.0
雲林縣,雲林縣口湖鄉,653.0
嘉義縣,嘉義縣布袋鎮,625.0
屏東縣,屏東縣東港鎮,928.0
屏東縣,屏東縣枋寮鄉,940.0
屏東縣,屏東縣新園鄉,932.0
屏東縣,屏東縣林邊鄉,927.0
屏東縣,屏東縣車城鄉,944.0
屏東縣,屏東縣滿州鄉,947.0
屏東縣,屏東縣枋山鄉,941.0
屏東縣,屏東縣牡丹鄉,945.0
臺東縣,臺東縣臺東市,950.0
臺東縣,臺東縣卑南鄉,954.0
臺東縣,臺東縣東河鄉,959.0
花蓮縣,花蓮縣吉安鄉,973.0
花蓮縣,花蓮縣壽豐鄉,974.0
花蓮縣,花蓮縣秀林鄉,972.0
高雄市,高雄市楠梓區,811.0
高雄市,高雄市鳳山區,830.0
高雄市,高雄市大寮區,831.0
高雄市,高雄市大樹區,840.0
高雄市,高雄市大社區,815.0
高雄市,高雄市仁武區,814.0
高雄市,高雄市鳥松區,833.0
高雄市,高雄市岡山區,820.0
高雄市,高雄市橋頭區,825.0
高雄市,高雄市燕巢區,824.0
高雄市,高雄市田寮區,823.0
高雄市,高雄市阿蓮區,822.0
高雄市,高雄市路竹區,821.0
高雄市,高雄市湖內區,829.0
高雄市,高雄市旗山區,842.0
高雄市,高雄市美濃區,843.0
高雄市,高雄市六龜區,844.0
高雄市,高雄市甲仙區,847.0
高雄市,高雄市杉林區,846.0
高雄市,高雄市內門區,845.0
高雄市,高雄市茂林區,851.0
高雄市,高雄市桃源區,848.0
高雄市,高雄市那瑪夏區,849.0
新北市,新北市永和區,234.0
新北市,新北市新店區,231.0
新北市,新北市土城區,236.0
新北市,新北市蘆洲區,247.0
新北市,新北市五股區,248.0
新北市,新北市坪林區,232.0
新北市,新北市平溪區,226.0
新北市,新北市烏來區,233.0
臺中市,臺中市豐原區,420.0
臺中市,臺中市東勢區,423.0
臺中市,臺中市后里區,421.0
臺中市,臺中市神岡區,429.0
臺中市,臺中市新社區,426.0
臺中市,臺中市石岡區,422.0
臺中市,臺中市外埔區,438.0
臺中市,臺中市大肚區,432.0
臺中市,臺中市和平區,424.0
臺南市,臺南市新營區,730.0
臺南市,臺南市鹽水區,737.0
臺南市,臺南市白河區,732.0
臺南市,臺南市後壁區,731.0
臺南市,臺南市麻豆區,721.0
臺南市,臺南市下營區,735.0
臺南市,臺南市六甲區,734.0
臺南市,臺南市官田區,720.0
臺南市,臺南市大內區,742.0
臺南市,臺南市佳里區,722.0
臺南市,臺南市學甲區,726.0
臺南市,臺南市西港區,723.0
臺南市,臺南市新化區,712.0
臺南市,臺南市新市區,744.0
臺南市,臺南市安定區,745.0
臺南市,臺南市玉井區,714.0
臺南市,臺南市楠西區,715.0
臺南市,臺南市南化區,716.0
臺南市,臺南市左鎮區,713.0
臺南市,臺南市仁德區,717.0
臺南市,臺南市歸仁區,711.0
臺南市,臺南市關廟區,718.0
臺南市,臺南市龍崎區,719.0
臺南市,臺南市永康區,710.0
臺南市,臺南市北區,704.0
高雄市,高雄市林園區,832.0
高雄市,高雄市茄萣區,852.0
高雄市,高雄市永安區,828.0
高雄市,高雄市彌陀區,827.0
高雄市,高雄市梓官區,826.0
新北市,新北市淡水區,251.0
新北市,新北市瑞芳區,224.0
新北市,新北市林口區,244.0
新北市,新北市三芝區,252.0
新北市,新北市八里區,249.0
臺中市,臺中市大甲區,437.0
臺中市,臺中市大安區,439.0
臺南市,臺南市北門區,727.0
臺南市,臺南市安南區,709.0
桃園市,桃園市蘆竹區,338.0
桃園市,桃園市龜山區,333.0
桃園市,桃園市復興區,336.0
臺東縣,臺東縣達仁鄉,966.0
臺東縣,臺東縣大武鄉,965.0
臺東縣,臺東縣關山鎮,956.0
臺東縣,臺東縣海端鄉,957.0
宜蘭縣,宜蘭縣礁溪鄉,262.0
花蓮縣,花蓮縣玉里鎮,981.0
花蓮縣,花蓮縣卓溪鄉,982.0
苗栗縣,苗栗縣頭份市,351.0
臺中市,臺中市清水區,436.0
臺南市,臺南市南區,702.0
臺南市,臺南市東區,701.0
臺南市,臺南市安平區,708.0
臺南市,臺南市中西區,700.0
桃園市,桃園市大溪區,335.0
桃園市,桃園市八德區,334.0
桃園市,桃園市桃園區,330.0
桃園市,桃園市大園區,337.0
桃園市,桃園市楊梅區,326.0
基隆市,基隆市七堵區,206.0
基隆市,基隆市仁愛區,200.0
基隆市,基隆市信義區,201.0
基隆市,基隆市中正區,202.0
基隆市,基隆市中山區,203.0
基隆市,基隆市安樂區,204.0
新北市,新北市三峽區,237.0
新北市,新北市鶯歌區,239.0
新北市,新北市中和區,235.0
新北市,新北市樹林區,238.0
新北市,新北市深坑區,222.0
新北市,新北市板橋區,220.0
新北市,新北市石碇區,223.0
新北市,新北市新莊區,242.0
新北市,新北市泰山區,243.0
新北市,新北市三重區,241.0
新北市,新北市雙溪區,227.0
新北市,新北市貢寮區,228.0
新北市,新北市汐止區,221.0
新北市,新北市萬里區,207.0
新北市,新北市金山區,208.0
新北市,新北市石門區,253.0
高雄市,高雄市苓雅區,802.0
高雄市,高雄市三民區,807.0
桃園市,桃園市新屋區,327.0
桃園市,桃園市觀音區,328.0
連江縣,連江縣北竿鄉,210.0
連江縣,連江縣東引鄉,212.0
金門縣,金門縣烈嶼鄉,894.0
高雄市,高雄市旗津區,805.0
臺東縣,臺東縣長濱鄉,962.0
花蓮縣,花蓮縣豐濱鄉,977.0
臺中市,臺中市霧峰區,413.0
臺中市,臺中市大里區,412.0
臺中市,臺中市南區,402.0
臺中市,臺中市烏日區,414.0
臺中市,臺中市中區,400.0
臺中市,臺中市西區,403.0
臺中市,臺中市南屯區,408.0
臺中市,臺中市北區,404.0
臺中市,臺中市西屯區,407.0
臺中市,臺中市北屯區,406.0
臺中市,臺中市潭子區,427.0
臺北市,臺北市信義區,110.0
臺北市,臺北市萬華區,108.0
臺北市,臺北市中正區,100.0
臺北市,臺北市南港區,115.0
臺北市,臺北市松山區,105.0
臺北市,臺北市大同區,103.0
臺北市,臺北市中山區,104.0
臺北市,臺北市內湖區,114.0
臺北市,臺北市士林區,111.0
臺北市,臺北市北投區,112.0
花蓮縣,花蓮縣花蓮市,970.0
花蓮縣,花蓮縣新城鄉,971.0
臺南市,臺南市善化區,741.0
臺南市,臺南市山上區,743.0
彰化縣,彰化縣北斗鎮,521.0
彰化縣,彰化縣田尾鄉,522.0
金門縣,金門縣金城鎮,893.0
金門縣,金門縣金沙鎮,890.0
金門縣,金門縣金湖鎮,891.0
臺南市,臺南市柳營區,736.0
臺南市,臺南市東山區,733.0
臺南市,臺南市七股區,724.0
臺南市,臺南市將軍區,725.0
高雄市,高雄市鼓山區,804.0
高雄市,高雄市左營區,813.0
臺東縣,臺東縣金峰鄉,964.0
臺東縣,臺東縣太麻里鄉,963.0
桃園市,桃園市中壢區,320.0
新竹縣,新竹縣寶山鄉,308.0
屏東縣,屏東縣恆春鎮,946.0
臺中市,臺中市東區,401.0
臺中市,臺中市太平區,411.0
花蓮縣,花蓮縣萬榮鄉,979.0
花蓮縣,花蓮縣鳳林鎮,975.0
桃園市,桃園市平鎮區,324.0
桃園市,桃園市龍潭區,325.0
新竹市,新竹市,300.0
嘉義市,嘉義市,600.0
